subjectId,choice,embedSignal,centeredVolume,blockBias
HAEB38,0,0,-1.0,0.427906976744186
HAEB38,1,0,-1.0,0.429223744292237
HAEB38,0,0,-1.0,0.427272727272727
HAEB38,0,0,-1.0,0.422907488986784
HAEB38,0,0,-1.0,0.407563025210084
HAEB38,1,0,-1.0,0.404
HAEB38,1,1,0.9999864200233792,0.400793650793651
HAEB38,0,0,-1.0,0.384030418250951
HAEB38,0,0,-1.0,0.416666666666667
HAEB38,0,0,-1.0,0.5
HAEB38,1,1,1.0,0.473684210526316
HAEB38,1,0,-1.0,0.476190476190476
HAEB38,1,1,0.7392800918803434,0.454545454545455
HAEB38,1,1,0.9999731489181608,0.464285714285714
HAEB38,1,1,0.4038925853500714,0.433333333333333
HAEB38,0,0,-1.0,0.419354838709677
HAEB38,1,1,0.3951065946369758,0.4375
HAEB38,0,0,-1.0,0.428571428571429
HAEB38,0,0,-1.0,0.447368421052632
HAEB38,1,1,0.9687295984182304,0.461538461538462
HAEB38,0,0,-1.0,0.452380952380952
HAEB38,0,0,-1.0,0.465116279069767
HAEB38,1,1,0.9659006990962627,0.44
HAEB38,0,0,-1.0,0.423076923076923
HAEB38,1,1,0.6692831824799995,0.456140350877193
HAEB38,0,0,-1.0,0.440677966101695
HAEB38,1,1,-0.191111107120613,0.451612903225806
HAEB38,0,0,-1.0,0.444444444444444
HAEB38,1,1,0.7245699879405858,0.453125
HAEB38,0,0,-1.0,0.446153846153846
HAEB38,1,1,0.0177999614991113,0.454545454545455
HAEB38,0,0,-1.0,0.438356164383562
HAEB38,0,1,-0.1868195363266935,0.445945945945946
HAEB38,0,0,-1.0,0.435897435897436
HAEB38,1,0,-1.0,0.443037974683544
HAEB38,1,1,-0.1156599709590905,0.44047619047619
HAEB38,1,1,-0.2025423310965643,0.430232558139535
HAEB38,0,0,-1.0,0.417582417582418
HAEB38,0,0,-1.0,0.43010752688172
HAEB38,1,1,-0.6380621396024626,0.436170212765957
HAEB38,1,1,-0.0158171713223258,0.422680412371134
HAEB38,0,0,-1.0,0.414141414141414
HAEB38,0,1,-0.5390904992813004,0.411764705882353
HAEB38,1,1,-0.4298558074803938,0.41747572815534
HAEB38,1,0,-1.0,0.40952380952381
HAEB38,0,0,-1.0,0.405660377358491
HAEB38,1,0,-1.0,0.407407407407407
HAEB38,1,1,-0.14294987818896,0.403669724770642
HAEB38,1,0,-1.0,0.401785714285714
HAEB38,0,0,-1.0,0.394736842105263
HAEB38,1,1,0.8134761886398065,0.4
HAEB38,0,0,-1.0,0.396551724137931
HAEB38,0,0,-1.0,0.398305084745763
HAEB38,1,0,-1.0,0.401639344262295
